"Phenophase_Description","Individual_ID","pheno_indiv_obs#","Common_Name","Scientific_Names"
"leafout",86278,20,"eastern cottonwood","Populus deltoides"
"leafout",86279,19,"eastern cottonwood","Populus deltoides"
"leafout",86280,23,"eastern cottonwood","Populus deltoides"
"leafout",86281,18,"eastern cottonwood","Populus deltoides"
"leafout",86282,24,"eastern cottonwood","Populus deltoides"
"leafout",86285,9,"northern red oak","Quercus rubra"
"leafout",86286,11,"northern red oak","Quercus rubra"
"leafout",86287,7,"northern red oak","Quercus rubra"
"leafout",86288,10,"northern red oak","Quercus rubra"
"leafout",86289,24,"American basswood","Tilia americana"
"leafout",86290,9,"American basswood","Tilia americana"
"leafout",87754,21,"river birch","Betula nigra"
"leafout",87756,26,"white oak","Quercus alba"
"leafout",87757,25,"American basswood","Tilia americana"
"leafout",87758,10,"white oak","Quercus alba"
"leafout",87759,10,"white oak","Quercus alba"
"leafout",87760,7,"northern red oak","Quercus rubra"
"leafout",87761,9,"white oak","Quercus alba"
"leafout",87762,8,"American basswood","Tilia americana"
"leafout",87763,13,"American basswood","Tilia americana"
"leafout",88311,10,"white oak","Quercus alba"
"leafout",92203,20,"sugar maple","Acer saccharum"
"leafout",92204,18,"sugar maple","Acer saccharum"
"leafout",92206,16,"sugar maple","Acer saccharum"
"leafout",92208,20,"sugar maple","Acer saccharum"
"leafout",92209,25,"sugar maple","Acer saccharum"
"leafout",135343,4,"American beech","Fagus grandifolia"
"leafout",135911,5,"American beech","Fagus grandifolia"
"leafout",166763,12,"red maple","Acer rubrum"
"leafout",166764,10,"red maple","Acer rubrum"
"leafout",166765,12,"red maple","Acer rubrum"
"leafout",166766,12,"red maple","Acer rubrum"
"leafout",166767,11,"red maple","Acer rubrum"
"leafout",166768,10,"highbush blueberry","Vaccinium corymbosum"
"leafout",166769,10,"highbush blueberry","Vaccinium corymbosum"
"leafout",166773,13,"highbush blueberry","Vaccinium corymbosum"
"leafout",166774,9,"highbush blueberry","Vaccinium corymbosum"
"leafout",166775,11,"highbush blueberry","Vaccinium corymbosum"
"leafout",166776,8,"American witchhazel","Hamamelis virginiana"
"leafout",166777,8,"American witchhazel","Hamamelis virginiana"
"leafout",166778,7,"American witchhazel","Hamamelis virginiana"
"leafout",166779,9,"American witchhazel","Hamamelis virginiana"
"leafout",166780,7,"American witchhazel","Hamamelis virginiana"
"leafout",169165,8,"possumhaw","Viburnum nudum"
"leafout",169166,10,"possumhaw","Viburnum nudum"
"leafout",169167,7,"possumhaw","Viburnum nudum"
"leafout",169168,7,"possumhaw","Viburnum nudum"
"leafout",169171,10,"possumhaw","Viburnum nudum"
"Open flowers",85751,9,"yellow buckeye","Aesculus flava"
"Open flowers",85755,10,"yellow buckeye","Aesculus flava"
"Open flowers",85756,9,"yellow buckeye","Aesculus flava"
"Open flowers",85757,24,"yellow buckeye","Aesculus flava"
"Open flowers",85758,11,"yellow buckeye","Aesculus flava"
"Open flowers",85759,41,"yellow birch","Betula alleghaniensis"
"Open flowers",85761,30,"yellow birch","Betula alleghaniensis"
"Open flowers",85762,35,"yellow birch","Betula alleghaniensis"
"Open flowers",85763,32,"yellow birch","Betula alleghaniensis"
"Open flowers",85764,32,"yellow birch","Betula alleghaniensis"
"Open flowers",86258,29,"river birch","Betula nigra"
"Open flowers",86259,34,"river birch","Betula nigra"
"Open flowers",86260,34,"river birch","Betula nigra"
"Open flowers",86261,27,"river birch","Betula nigra"
"Open flowers",86262,12,"pignut hickory","Carya glabra"
"Open flowers",86263,16,"pignut hickory","Carya glabra"
"Open flowers",86264,11,"pignut hickory","Carya glabra"
"Open flowers",86265,19,"pignut hickory","Carya glabra"
"Open flowers",86266,19,"pignut hickory","Carya glabra"
"Open flowers",86268,19,"shagbark hickory","Carya ovata"
"Open flowers",86269,20,"shagbark hickory","Carya ovata"
"Open flowers",86270,21,"shagbark hickory","Carya ovata"
"Open flowers",86271,20,"shagbark hickory","Carya ovata"
"Open flowers",86272,24,"shagbark hickory","Carya ovata"
"Open flowers",86273,5,"American beech","Fagus grandifolia"
"Open flowers",86274,10,"American beech","Fagus grandifolia"
"Open flowers",86275,6,"American beech","Fagus grandifolia"
"Open flowers",86276,6,"American beech","Fagus grandifolia"
"Open flowers",86277,4,"American beech","Fagus grandifolia"
"Open flowers",86278,22,"eastern cottonwood","Populus deltoides"
"Open flowers",86279,13,"eastern cottonwood","Populus deltoides"
"Open flowers",86280,15,"eastern cottonwood","Populus deltoides"
"Open flowers",86281,17,"eastern cottonwood","Populus deltoides"
"Open flowers",86282,17,"eastern cottonwood","Populus deltoides"
"Open flowers",86285,8,"northern red oak","Quercus rubra"
"Open flowers",86286,8,"northern red oak","Quercus rubra"
"Open flowers",86287,7,"northern red oak","Quercus rubra"
"Open flowers",86288,6,"northern red oak","Quercus rubra"
"Open flowers",86289,19,"American basswood","Tilia americana"
"Open flowers",86290,10,"American basswood","Tilia americana"
"Open flowers",87754,27,"river birch","Betula nigra"
"Open flowers",87756,6,"white oak","Quercus alba"
"Open flowers",87757,12,"American basswood","Tilia americana"
"Open flowers",87758,9,"white oak","Quercus alba"
"Open flowers",87759,7,"white oak","Quercus alba"
"Open flowers",87760,8,"northern red oak","Quercus rubra"
"Open flowers",87761,2,"white oak","Quercus alba"
"Open flowers",87762,10,"American basswood","Tilia americana"
"Open flowers",87763,7,"American basswood","Tilia americana"
"Open flowers",88311,6,"white oak","Quercus alba"
"Open flowers",92203,4,"sugar maple","Acer saccharum"
"Open flowers",92204,22,"sugar maple","Acer saccharum"
"Open flowers",92206,12,"sugar maple","Acer saccharum"
"Open flowers",92208,12,"sugar maple","Acer saccharum"
"Open flowers",92209,13,"sugar maple","Acer saccharum"
"Open flowers",135343,2,"American beech","Fagus grandifolia"
"Open flowers",135911,4,"American beech","Fagus grandifolia"
"Open flowers",166763,14,"red maple","Acer rubrum"
"Open flowers",166764,9,"red maple","Acer rubrum"
"Open flowers",166765,7,"red maple","Acer rubrum"
"Open flowers",166766,5,"red maple","Acer rubrum"
"Open flowers",166767,7,"red maple","Acer rubrum"
"Open flowers",166768,13,"highbush blueberry","Vaccinium corymbosum"
"Open flowers",166769,7,"highbush blueberry","Vaccinium corymbosum"
"Open flowers",166773,5,"highbush blueberry","Vaccinium corymbosum"
"Open flowers",166774,6,"highbush blueberry","Vaccinium corymbosum"
"Open flowers",166775,8,"highbush blueberry","Vaccinium corymbosum"
"Open flowers",166776,7,"American witchhazel","Hamamelis virginiana"
"Open flowers",166777,7,"American witchhazel","Hamamelis virginiana"
"Open flowers",166778,7,"American witchhazel","Hamamelis virginiana"
"Open flowers",166779,7,"American witchhazel","Hamamelis virginiana"
"Open flowers",166780,6,"American witchhazel","Hamamelis virginiana"
"Open flowers",169165,4,"possumhaw","Viburnum nudum"
"Open flowers",169166,3,"possumhaw","Viburnum nudum"
"Open flowers",169167,3,"possumhaw","Viburnum nudum"
"Open flowers",169168,5,"possumhaw","Viburnum nudum"
"Open flowers",169171,21,"possumhaw","Viburnum nudum"
"Pollen release (flowers)",85759,25,"yellow birch","Betula alleghaniensis"
"Pollen release (flowers)",85761,19,"yellow birch","Betula alleghaniensis"
"Pollen release (flowers)",85762,29,"yellow birch","Betula alleghaniensis"
"Pollen release (flowers)",85763,15,"yellow birch","Betula alleghaniensis"
"Pollen release (flowers)",85764,25,"yellow birch","Betula alleghaniensis"
"Pollen release (flowers)",86258,14,"river birch","Betula nigra"
"Pollen release (flowers)",86259,28,"river birch","Betula nigra"
"Pollen release (flowers)",86260,30,"river birch","Betula nigra"
"Pollen release (flowers)",86261,23,"river birch","Betula nigra"
"Pollen release (flowers)",86262,13,"pignut hickory","Carya glabra"
"Pollen release (flowers)",86263,6,"pignut hickory","Carya glabra"
"Pollen release (flowers)",86264,4,"pignut hickory","Carya glabra"
"Pollen release (flowers)",86265,9,"pignut hickory","Carya glabra"
"Pollen release (flowers)",86266,9,"pignut hickory","Carya glabra"
"Pollen release (flowers)",86268,14,"shagbark hickory","Carya ovata"
"Pollen release (flowers)",86269,13,"shagbark hickory","Carya ovata"
"Pollen release (flowers)",86270,16,"shagbark hickory","Carya ovata"
"Pollen release (flowers)",86271,14,"shagbark hickory","Carya ovata"
"Pollen release (flowers)",86272,14,"shagbark hickory","Carya ovata"
"Pollen release (flowers)",86278,13,"eastern cottonwood","Populus deltoides"
"Pollen release (flowers)",86279,9,"eastern cottonwood","Populus deltoides"
"Pollen release (flowers)",86280,9,"eastern cottonwood","Populus deltoides"
"Pollen release (flowers)",86281,13,"eastern cottonwood","Populus deltoides"
"Pollen release (flowers)",86282,18,"eastern cottonwood","Populus deltoides"
"Pollen release (flowers)",86285,9,"northern red oak","Quercus rubra"
"Pollen release (flowers)",86286,6,"northern red oak","Quercus rubra"
"Pollen release (flowers)",86287,6,"northern red oak","Quercus rubra"
"Pollen release (flowers)",86288,4,"northern red oak","Quercus rubra"
"Pollen release (flowers)",86289,11,"American basswood","Tilia americana"
"Pollen release (flowers)",86290,2,"American basswood","Tilia americana"
"Pollen release (flowers)",87754,17,"river birch","Betula nigra"
"Pollen release (flowers)",87756,3,"white oak","Quercus alba"
"Pollen release (flowers)",87757,7,"American basswood","Tilia americana"
"Pollen release (flowers)",87758,7,"white oak","Quercus alba"
"Pollen release (flowers)",87759,5,"white oak","Quercus alba"
"Pollen release (flowers)",87760,4,"northern red oak","Quercus rubra"
"Pollen release (flowers)",87761,1,"white oak","Quercus alba"
"Pollen release (flowers)",87762,6,"American basswood","Tilia americana"
"Pollen release (flowers)",87763,5,"American basswood","Tilia americana"
"Pollen release (flowers)",88311,3,"white oak","Quercus alba"
"Pollen release (flowers)",92204,19,"sugar maple","Acer saccharum"
"Pollen release (flowers)",92206,12,"sugar maple","Acer saccharum"
"Pollen release (flowers)",92208,10,"sugar maple","Acer saccharum"
"Pollen release (flowers)",92209,10,"sugar maple","Acer saccharum"
"Pollen release (flowers)",166763,3,"red maple","Acer rubrum"
"Pollen release (flowers)",166764,7,"red maple","Acer rubrum"
"Pollen release (flowers)",166765,12,"red maple","Acer rubrum"
"Pollen release (flowers)",166766,3,"red maple","Acer rubrum"
"Pollen release (flowers)",166767,5,"red maple","Acer rubrum"
"Recent fruit or seed drop",85751,12,"yellow buckeye","Aesculus flava"
"Recent fruit or seed drop",85755,8,"yellow buckeye","Aesculus flava"
"Recent fruit or seed drop",85756,10,"yellow buckeye","Aesculus flava"
"Recent fruit or seed drop",85757,26,"yellow buckeye","Aesculus flava"
"Recent fruit or seed drop",85758,20,"yellow buckeye","Aesculus flava"
"Recent fruit or seed drop",85759,47,"yellow birch","Betula alleghaniensis"
"Recent fruit or seed drop",85761,31,"yellow birch","Betula alleghaniensis"
"Recent fruit or seed drop",85762,42,"yellow birch","Betula alleghaniensis"
"Recent fruit or seed drop",85763,31,"yellow birch","Betula alleghaniensis"
"Recent fruit or seed drop",85764,23,"yellow birch","Betula alleghaniensis"
"Recent fruit or seed drop",86258,13,"river birch","Betula nigra"
"Recent fruit or seed drop",86259,21,"river birch","Betula nigra"
"Recent fruit or seed drop",86260,22,"river birch","Betula nigra"
"Recent fruit or seed drop",86261,19,"river birch","Betula nigra"
"Recent fruit or seed drop",86262,17,"pignut hickory","Carya glabra"
"Recent fruit or seed drop",86263,24,"pignut hickory","Carya glabra"
"Recent fruit or seed drop",86264,17,"pignut hickory","Carya glabra"
"Recent fruit or seed drop",86265,24,"pignut hickory","Carya glabra"
"Recent fruit or seed drop",86266,24,"pignut hickory","Carya glabra"
"Recent fruit or seed drop",86268,27,"shagbark hickory","Carya ovata"
"Recent fruit or seed drop",86269,28,"shagbark hickory","Carya ovata"
"Recent fruit or seed drop",86270,30,"shagbark hickory","Carya ovata"
"Recent fruit or seed drop",86271,33,"shagbark hickory","Carya ovata"
"Recent fruit or seed drop",86272,32,"shagbark hickory","Carya ovata"
"Recent fruit or seed drop",86273,4,"American beech","Fagus grandifolia"
"Recent fruit or seed drop",86274,19,"American beech","Fagus grandifolia"
"Recent fruit or seed drop",86275,6,"American beech","Fagus grandifolia"
"Recent fruit or seed drop",86276,4,"American beech","Fagus grandifolia"
"Recent fruit or seed drop",86278,15,"eastern cottonwood","Populus deltoides"
"Recent fruit or seed drop",86279,12,"eastern cottonwood","Populus deltoides"
"Recent fruit or seed drop",86280,11,"eastern cottonwood","Populus deltoides"
"Recent fruit or seed drop",86281,16,"eastern cottonwood","Populus deltoides"
"Recent fruit or seed drop",86282,7,"eastern cottonwood","Populus deltoides"
"Recent fruit or seed drop",86285,12,"northern red oak","Quercus rubra"
"Recent fruit or seed drop",86286,12,"northern red oak","Quercus rubra"
"Recent fruit or seed drop",86287,12,"northern red oak","Quercus rubra"
"Recent fruit or seed drop",86288,13,"northern red oak","Quercus rubra"
"Recent fruit or seed drop",86289,34,"American basswood","Tilia americana"
"Recent fruit or seed drop",86290,29,"American basswood","Tilia americana"
"Recent fruit or seed drop",87754,16,"river birch","Betula nigra"
"Recent fruit or seed drop",87756,21,"white oak","Quercus alba"
"Recent fruit or seed drop",87757,26,"American basswood","Tilia americana"
"Recent fruit or seed drop",87758,10,"white oak","Quercus alba"
"Recent fruit or seed drop",87759,4,"white oak","Quercus alba"
"Recent fruit or seed drop",87760,7,"northern red oak","Quercus rubra"
"Recent fruit or seed drop",87761,9,"white oak","Quercus alba"
"Recent fruit or seed drop",87762,27,"American basswood","Tilia americana"
"Recent fruit or seed drop",87763,27,"American basswood","Tilia americana"
"Recent fruit or seed drop",88311,8,"white oak","Quercus alba"
"Recent fruit or seed drop",92203,3,"sugar maple","Acer saccharum"
"Recent fruit or seed drop",92204,39,"sugar maple","Acer saccharum"
"Recent fruit or seed drop",92206,17,"sugar maple","Acer saccharum"
"Recent fruit or seed drop",92208,14,"sugar maple","Acer saccharum"
"Recent fruit or seed drop",92209,26,"sugar maple","Acer saccharum"
"Recent fruit or seed drop",135343,5,"American beech","Fagus grandifolia"
"Recent fruit or seed drop",135911,7,"American beech","Fagus grandifolia"
"Recent fruit or seed drop",166763,4,"red maple","Acer rubrum"
"Recent fruit or seed drop",166765,2,"red maple","Acer rubrum"
"Recent fruit or seed drop",166766,1,"red maple","Acer rubrum"
"Recent fruit or seed drop",166767,4,"red maple","Acer rubrum"
"Recent fruit or seed drop",166768,5,"highbush blueberry","Vaccinium corymbosum"
"Recent fruit or seed drop",166769,4,"highbush blueberry","Vaccinium corymbosum"
"Recent fruit or seed drop",166773,1,"highbush blueberry","Vaccinium corymbosum"
"Recent fruit or seed drop",166774,1,"highbush blueberry","Vaccinium corymbosum"
"Recent fruit or seed drop",166775,3,"highbush blueberry","Vaccinium corymbosum"
"Recent fruit or seed drop",166776,11,"American witchhazel","Hamamelis virginiana"
"Recent fruit or seed drop",166777,8,"American witchhazel","Hamamelis virginiana"
"Recent fruit or seed drop",166778,8,"American witchhazel","Hamamelis virginiana"
"Recent fruit or seed drop",166779,9,"American witchhazel","Hamamelis virginiana"
"Recent fruit or seed drop",166780,10,"American witchhazel","Hamamelis virginiana"
"Recent fruit or seed drop",169165,10,"possumhaw","Viburnum nudum"
"Recent fruit or seed drop",169166,8,"possumhaw","Viburnum nudum"
"Recent fruit or seed drop",169167,13,"possumhaw","Viburnum nudum"
"Recent fruit or seed drop",169168,11,"possumhaw","Viburnum nudum"
"Recent fruit or seed drop",169171,10,"possumhaw","Viburnum nudum"
"Ripe fruits",85751,12,"yellow buckeye","Aesculus flava"
"Ripe fruits",85755,9,"yellow buckeye","Aesculus flava"
"Ripe fruits",85756,9,"yellow buckeye","Aesculus flava"
"Ripe fruits",85757,23,"yellow buckeye","Aesculus flava"
"Ripe fruits",85758,17,"yellow buckeye","Aesculus flava"
"Ripe fruits",85759,50,"yellow birch","Betula alleghaniensis"
"Ripe fruits",85761,44,"yellow birch","Betula alleghaniensis"
"Ripe fruits",85762,47,"yellow birch","Betula alleghaniensis"
"Ripe fruits",85763,41,"yellow birch","Betula alleghaniensis"
"Ripe fruits",85764,67,"yellow birch","Betula alleghaniensis"
"Ripe fruits",86258,12,"river birch","Betula nigra"
"Ripe fruits",86259,14,"river birch","Betula nigra"
"Ripe fruits",86260,22,"river birch","Betula nigra"
"Ripe fruits",86261,20,"river birch","Betula nigra"
"Ripe fruits",86262,18,"pignut hickory","Carya glabra"
"Ripe fruits",86263,21,"pignut hickory","Carya glabra"
"Ripe fruits",86264,11,"pignut hickory","Carya glabra"
"Ripe fruits",86265,16,"pignut hickory","Carya glabra"
"Ripe fruits",86266,17,"pignut hickory","Carya glabra"
"Ripe fruits",86268,29,"shagbark hickory","Carya ovata"
"Ripe fruits",86269,27,"shagbark hickory","Carya ovata"
"Ripe fruits",86270,30,"shagbark hickory","Carya ovata"
"Ripe fruits",86271,25,"shagbark hickory","Carya ovata"
"Ripe fruits",86272,30,"shagbark hickory","Carya ovata"
"Ripe fruits",86273,3,"American beech","Fagus grandifolia"
"Ripe fruits",86274,24,"American beech","Fagus grandifolia"
"Ripe fruits",86275,8,"American beech","Fagus grandifolia"
"Ripe fruits",86276,2,"American beech","Fagus grandifolia"
"Ripe fruits",86277,3,"American beech","Fagus grandifolia"
"Ripe fruits",86278,15,"eastern cottonwood","Populus deltoides"
"Ripe fruits",86279,10,"eastern cottonwood","Populus deltoides"
"Ripe fruits",86280,9,"eastern cottonwood","Populus deltoides"
"Ripe fruits",86281,12,"eastern cottonwood","Populus deltoides"
"Ripe fruits",86282,3,"eastern cottonwood","Populus deltoides"
"Ripe fruits",86285,14,"northern red oak","Quercus rubra"
"Ripe fruits",86286,9,"northern red oak","Quercus rubra"
"Ripe fruits",86287,3,"northern red oak","Quercus rubra"
"Ripe fruits",86288,12,"northern red oak","Quercus rubra"
"Ripe fruits",86289,35,"American basswood","Tilia americana"
"Ripe fruits",86290,40,"American basswood","Tilia americana"
"Ripe fruits",87754,13,"river birch","Betula nigra"
"Ripe fruits",87756,12,"white oak","Quercus alba"
"Ripe fruits",87757,28,"American basswood","Tilia americana"
"Ripe fruits",87758,6,"white oak","Quercus alba"
"Ripe fruits",87759,5,"white oak","Quercus alba"
"Ripe fruits",87760,3,"northern red oak","Quercus rubra"
"Ripe fruits",87761,4,"white oak","Quercus alba"
"Ripe fruits",87762,38,"American basswood","Tilia americana"
"Ripe fruits",87763,33,"American basswood","Tilia americana"
"Ripe fruits",88311,5,"white oak","Quercus alba"
"Ripe fruits",92203,1,"sugar maple","Acer saccharum"
"Ripe fruits",92204,40,"sugar maple","Acer saccharum"
"Ripe fruits",92206,10,"sugar maple","Acer saccharum"
"Ripe fruits",92208,11,"sugar maple","Acer saccharum"
"Ripe fruits",92209,10,"sugar maple","Acer saccharum"
"Ripe fruits",135343,6,"American beech","Fagus grandifolia"
"Ripe fruits",135911,10,"American beech","Fagus grandifolia"
"Ripe fruits",166763,10,"red maple","Acer rubrum"
"Ripe fruits",166764,1,"red maple","Acer rubrum"
"Ripe fruits",166767,6,"red maple","Acer rubrum"
"Ripe fruits",166768,11,"highbush blueberry","Vaccinium corymbosum"
"Ripe fruits",166769,6,"highbush blueberry","Vaccinium corymbosum"
"Ripe fruits",166773,5,"highbush blueberry","Vaccinium corymbosum"
"Ripe fruits",166774,4,"highbush blueberry","Vaccinium corymbosum"
"Ripe fruits",166775,13,"highbush blueberry","Vaccinium corymbosum"
"Ripe fruits",166776,10,"American witchhazel","Hamamelis virginiana"
"Ripe fruits",166777,11,"American witchhazel","Hamamelis virginiana"
"Ripe fruits",166778,9,"American witchhazel","Hamamelis virginiana"
"Ripe fruits",166779,10,"American witchhazel","Hamamelis virginiana"
"Ripe fruits",166780,14,"American witchhazel","Hamamelis virginiana"
"Ripe fruits",169165,8,"possumhaw","Viburnum nudum"
"Ripe fruits",169166,8,"possumhaw","Viburnum nudum"
"Ripe fruits",169167,9,"possumhaw","Viburnum nudum"
"Ripe fruits",169168,9,"possumhaw","Viburnum nudum"
"Ripe fruits",169171,16,"possumhaw","Viburnum nudum"
